#
#--------------------------------------------------------------------------------
##ASTER 13.04.00 CONCEPT stress CALCULE LE 09/06/2019 A 20:46:28 DE TYPE          
#TABLE_SDASTER                                                                   
INTITULE         ,NOEUD    ,RESU     ,NOM_CHAM         ,    NUME_ORDRE   ,    INST         ,    ABSC_CURV    ,    COOR_X       ,    COOR_Y       ,    COOR_Z       ,    SN           ,    SVY          ,    SVZ          ,    SMT          ,    SMFY         ,    SMFZ        
stresses         ,N1       ,reslin   ,SIPO_NOEU        ,               1 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,-3.7479708226E-10 ,2.7019833527E+02 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,1.0079848216E+06
stresses         ,N2       ,reslin   ,SIPO_NOEU        ,               1 ,0.0000000000E+00 ,7.6200000000E-01 ,7.6200000000E-01 ,0.0000000000E+00 ,0.0000000000E+00 ,4.8689052209E+06 ,-5.3149183124E+03 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,-4.3191846790E+05
stresses         ,N3       ,reslin   ,SIPO_NOEU        ,               1 ,0.0000000000E+00 ,1.8396307345E+00 ,0.0000000000E+00 ,7.6200000000E-01 ,0.0000000000E+00 ,4.8686736230E+06 ,6.1249455588E+03 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,-4.1754242089E+05
ELNO             ,N1       ,reslin   ,SIPO_ELNO        ,               1 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,-3.7479708226E-10 ,2.7019833527E+02 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,1.0079848216E+06
ELNO             ,N2       ,reslin   ,SIPO_ELNO        ,               1 ,0.0000000000E+00 ,7.6200000000E-01 ,7.6200000000E-01 ,0.0000000000E+00 ,0.0000000000E+00 ,4.8689052209E+06 ,-5.3149183124E+03 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,-4.3191846790E+05
ELNO             ,N3       ,reslin   ,SIPO_ELNO        ,               1 ,0.0000000000E+00 ,1.8396307345E+00 ,0.0000000000E+00 ,7.6200000000E-01 ,0.0000000000E+00 ,4.8686736230E+06 ,6.1249455588E+03 ,0.0000000000E+00 ,0.0000000000E+00 ,0.0000000000E+00 ,-4.1754242089E+05

